dagiː	dagiːf	ADJ;PSS1S
ɲəkə	ɲəkəďət͡ʃaːw	V;IPFV;FIN;IND;SG;1;PST;ACT
ije	ijerdukin	N;ABL;PL;PSS3S
arakukaːn	arakukaːn	N;NOM;SG
ŋələ	ŋələrə	V;FIN;IND;PL;3;PST;ACT
huru	hururə	V;FIN;IND;PL;3;PST;ACT
irəkśə	irəkśəwə	N;ACC;DEF;SG
bagdakəː	bagdakəːlwə	N;ACC;DEF;PL
oro	orolwə	N;ACC;DEF;PL
ɲama	ɲamaďəŋoːn	V;FIN;IND;SG;3;FUT;ACT
bultahit	bultahit	ADJ
tolgokiː	tolgokiːduː	N;DAT;SG
meːwa	meːwarən	V;FIN;IND;SG;3;PST;ACT
ilkəːɲ		V;IPFV;FIN;IND;PL;PSS3P;ACT
aŋaɲiː	aŋaɲiː	N;NOM;SG
aː		V;SEMEL;ACC;INDF;FIN;IND;PSS3P;ACT
ajalə	ajalə	ADJ
boroʃi	boroʃilwə	N;ACC;DEF;PL
amiːn	amiːnw	N;NOM;SG;PSS1S
əɲiːnmə	əɲiːnmə	ADJ
hama	hama	N;NOM;SG
tulə	tuləśilŋnərw	V;DUR;HAB;FIN;IND;PL;1+EXCL;PST;ACT
girku	girkuďit͡ʃoːwun	V;IPFV;FIN;IND;PL;1+EXCL;PST;ACT
heːktakaː	heːktakaːlduk	N;ABL;PL
uldi	uldiŋnəm	V;HAB;FIN;IND;SG;1;PST;ACT
ŋəli	ŋəlisiːŋnəm	V;DUR;HAB;FIN;IND;SG;1;PST;ACT
ďebŋənə	ďebŋənəlwə	N;ACC;DEF;PL
bəjo	bəjorə	V;FIN;IND;PL;3;PST;ACT
nakanno	nakanno	N;NOM;SG
bi	birəw	V;FIN;IND;PL;1+EXCL;PST;ACT
ɲaŋta	ɲaŋtalə	N;ACC;INDF;PL
diliː	diliː	N;NOM;SG
oro	orolwər	N;PL;PSSRP+ACC
śila	śilatt͡ʃərəw	V;DUR;IPFV;FIN;IND;PL;1+EXCL;PRS;ACT
ŋinakin	ŋinakinwəun	N;ACC;DEF;SG;PSS1PE
hamɲiːka	hamɲiːkalə	N;ACC;INDF;PL
jaŋi	jaŋiltikiː	N;ALL;PL
huru	huruwoːt	V;FIN;IMP;PL;1+INCL;ACT
ə	əŋkiːwun	V;FIN;IND;PL;1+EXCL;PST+RMT;ACT
boloniː	boloniːwə	N;ACC;DEF;SG
śipkaː	śipkaː	N;NOM;SG
hujukuːn	hujukuːn	ADJ
bi	birə	V;FIN;IND;PL;3;PST;ACT
diŋniːləːn	diŋniːləːnrən	V;FIN;IND;SG;3;PST;ACT
vobʃəm	vobʃəm	ADJ
o	oktə	V;FIN;IMP;SG;1;ACT
aknil	aknilwi	N;NOM;SG;PSSRS
hutakat͡ʃaːn	hutakat͡ʃaːnjə	N;ACC;INDF;SG
agdi	agdiďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
bira	biraliː	N;PROL;SG
ŋolə	ŋoləgattə	V;DUR;FIN;IND;PL;3;PST;ACT
pə	pə	N;NOM;SG
dundə	dundəwə	N;ACC;DEF;SG
dunnə	dunnə	N;NOM;SG
ďaďa	ďaďa	N;NOM;SG
aŋanisi	aŋanisi	ADJ
umaːn	umaːnwan	N;ACC;DEF;SG;PSS3S
əbəj	əbəj	N;NOM;SG
ahatawet	ahatawetlaː	N;TERM;SG
hukulo	hukuloďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
aleksejewna	aleksejewna	N;NOM;SG
əɲin	əɲinduːji	N;DAT;SG;PSSRS
aŋani	aŋanis	N;NOM;SG;PSS2S
aːnŋə	aːnŋəgattə	V;DUR;FIN;IND;PL;3;PST;ACT
terapefťə	terapefťə	N;NOM;SG
ə	ərəw	V;FIN;IND;PL;1+EXCL;PST;ACT
ďə	ďərən	V;FIN;IND;SG;3;PST;ACT
aloʃa	aloʃa	N;NOM;SG
samolot	samolot	N;NOM;SG
ɲimoki	ɲimokidulaːji	N;TERM;PL;PSSRS
altaśi	altaśirən	V;FIN;IND;SG;3;PST;ACT
tolgoki	tolgokildulaːwər	N;TERM;PL;PSSRP
təwə	təwəkəldu	V;FIN;IMP;PL;2;ACT
beːgaśi	beːgaśi	ADJ
ili	ilittən	V;DUR;FIN;IND;SG;3;PST;ACT
ŋoːlə		V;FIN;IND;SG;1;FUT+IMMED;CAUS;ACT
ďəpti	ďəptil	N;NOM;PL
murdaː	murdaːrəw	V;FIN;IND;PL;1+EXCL;PST;ACT
ini		V;IPFV;FIN;IND;PL;2;FUT+IMMED;ACT
bi	birə	V;FIN;IND;PL;3;PST;ACT
haŋaːri	haŋaːrilwan	N;ACC;DEF;PL;PSS3S
in	induː	N;DAT;SG
sudə	sudəwə	N;ACC;DEF;SG
t͡ʃanku	t͡ʃankulwə	N;ACC;DEF;PL
ɲutə	ɲutəlwə	N;ACC;DEF;PL
umukən	umukən	ADJ
baloki	balokilduːtin	N;DAT;PL;PSS3P
dərumkiśə	dərumkiśəďakal	V;IPFV;FIN;IMP;SG;2;ACT
mənmaktə	mənmaktəl	N;NOM;PL
prəmhos	prəmhosduː	N;DAT;SG
ŋənə	ŋənəďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
ďu	ďulaːwər	N;TERM;SG;PSSRP
kapka	kapkalwi	N;PL;PSSRS+ACC
ŋoːlə	ŋoːləwsoːn	V;FIN;IND;SG;3;PST;CAUS;ACT
amiː	amiːtin	N;NOM;SG;PSS3P
aː		V;HAB+IPFV;FIN;IND;SG;2;PRS;ACT
ubdun		N;ABL;SG;3
iŋiɲipt͡ʃu	iŋiɲipt͡ʃu	ADJ
tuŋi	tuŋiwə	N;ACC;DEF;SG
itiγaː	itiγaːďəŋnərəwun	V;HAB+IPFV;FIN;IND;PL;1+EXCL;PRS;ACT
t͡ʃikti	t͡ʃiktilwə	N;ACC;DEF;PL
doldi	doldittaw	V;DUR;FIN;IND;SG;1;PST;ACT
t͡ʃokoksoːn	t͡ʃokoksoːnwə	N;ACC;DEF;SG
kəŋiloːn	kəŋiloːnjə	N;ACC;INDF;SG
ulukiː	ulukiː	N;NOM;SG
ruʒjom	ruʒjom	N;NOM;SG
ďantakiː	ďantakiːlwə	N;ACC;DEF;PL
ďəm	ďəmrəw	V;FIN;IND;PL;1+EXCL;PST;ACT
ulgot͡ʃoː	ulgot͡ʃoːďəŋkiːw	V;IPFV;FIN;IND;SG;1;PST+RMT;ACT
ďuːr	ďuːrwə	N;ACC;DEF;SG
bokonə	bokonəm	V;FIN;IND;SG;1;PST;ACT
uda	udalwan	N;ACC;DEF;PL;PSS3S
omo	omorə	V;FIN;IND;PL;3;PST;ACT
samoloːt	samoloːtduː	N;DAT;SG
birə	birəldulaː	N;TERM;PL
hujet	hujetrəw	V;FIN;IND;PL;1+EXCL;PST;ACT
orohəmə	orohəmə	ADJ
japə	japərəw	V;FIN;IND;PL;1+EXCL;PST;ACT
ohoto	ohotowə	N;ACC;DEF;SG
ďawi	ďawilwə	N;ACC;DEF;PL
kilometr	kilometrliː	N;PROL;SG
t͡ʃatti	t͡ʃattirəw	V;FIN;IND;PL;1+EXCL;PST;ACT
həgdiŋə	həgdiŋəltə	V;IPFV;FIN;IND;PL;ACT
hukśilla	hukśillalďi	N;INS;PL
moti	motilwə	N;ACC;DEF;PL
bi	bim	V;FIN;IND;SG;1;PST;ACT
oro	orolwi	N;NOM;PL;PSS1S
ɲəŋɲəɲiː	ɲəŋɲəɲiːt	N;INS;SG
amaka	amakaw	N;NOM;SG;PSS1S
buː	buːŋkiːtin	V;FIN;IND;PL;3;PST+RMT;ACT
jest	jest	N;NOM;SG
amkin	amkinjə	N;ACC;INDF;SG
hələ	hələwə	N;ACC;DEF;SG
oldo	oldolə	N;ACC;INDF;PL
ili	ilitt͡ʃəm	V;DUR;IPFV;FIN;IND;SG;1;PRS;ACT
əmə	əməďərə	V;IPFV;FIN;IND;PL;3;PRS;ACT
buː	buːŋkiːtin	V;FIN;IND;PL;3;PST+RMT;ACT
pəɲśija	pəɲśija	N;NOM;SG
tijəpkoːn		V;IPFV;FIN;IND;PSSRS;ACT
zaʃiʃati	zaʃiʃatiďəm	V;FIN;IND;SG;1;FUT+IMMED;ACT
kislokan	kislokanduː	N;DAT;SG
in	inďit͡ʃoːwun	V;IPFV;FIN;IND;PL;1+EXCL;PST;ACT
amaːkaː	amaːkaːdukpi	N;ABL;SG;PSSRS
anŋaɲiː	anŋaɲiːldulaː	N;TERM;PL
uďa	uďaliːn	N;PROL;SG;PSS3S
hamaːn	hamaːnŋduːtin	N;DAT;SG;ALN+PSS3P
bolnisa	bolnisa	N;NOM;SG
oː	oːrən	V;FIN;IND;SG;3;PST;ACT
asin	asinduː	N;DAT;SG
umuko	umuko	ADJ
ilan	ilant	N;INS;SG
haŋiː	haŋiːhinəw	V;SEMEL;FIN;IND;PL;1+EXCL;PST;ACT
śimja	śimjaduk	N;ABL;SG
zaatehnik	zaatehnik	N;NOM;SG
at͡ʃi	at͡ʃil	N;NOM;PL
grus	gruswə	N;ACC;DEF;SG
kuŋakan	kuŋakanduːji	N;DAT;SG;PSSRS
dinŋiːləː	dinŋiːləːďəŋoːn	V;FIN;IND;SG;3;FUT;ACT
a	aďəŋkiːwun	V;IPFV;FIN;IND;PL;1+EXCL;PST+RMT;ACT
pramhoz	pramhoz	N;NOM;SG
ulgut͡ʃəːni	ulgut͡ʃəːnim	V;FIN;IND;SG;1;PST;ACT
waː	waːm	V;FIN;IND;SG;1;PST;ACT
nulgiː	nulgiːhinəw	V;SEMEL;FIN;IND;PL;1+EXCL;PST;ACT
hənŋə	hənŋə	N;NOM;SG
uldə	uldəlwə	N;ACC;DEF;PL
kapkan	kapkanduːn	N;DAT;SG;PSS3S
uďa	uďalwə	N;ACC;DEF;PL;PSS1S
o	oγin	V;FIN;IMP;SG;3;ACT
marʃruti	marʃrutin	N;NOM;SG;PSS3S
ɲikə	ɲikəďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
əː	əː	N;NOM;SG
turəːni	turəːnin	N;NOM;SG;PSS3S
ənin	əninnunmi	N;COM;SG;PSS1S
tərgəksəkəː	tərgəksəkəːrwər	N;NOM;PL;PSSRP
uləː	uləːrən	V;FIN;IND;SG;3;PST;ACT
saʃka	saʃka	N;NOM;SG
naː	naːwran	V;FIN;IND;SG;3;PST;PASS
kuptu	kupturən	V;FIN;IND;SG;3;PST;ACT
ďuː	ďuːl	N;NOM;PL
kuŋakan	kuŋakanwə	N;ACC;DEF;SG
ɲimŋakaːn	ɲimŋakaːn	N;NOM;SG
produkta	produktalə	N;ACC;INDF;PL
buː	buːŋnərəw	V;HAB;FIN;IND;PL;1+EXCL;PST;ACT
bəjə	bəjərkə	V;FIN;POT;ACT
hoː	hoːŋuwatin	N;ACC;DEF;SG;ALN+PSS3P
vəťərantruda	vəťərantrudaduː	N;DAT;SG
ahiːla	ahiːlarən	V;FIN;IND;SG;3;PST;ACT
ɲimnoʃkato	ɲimnoʃkato	ADJ
ga	gaďəs	V;FIN;IND;PL;2;FUT+IMMED;ACT
amin	aminəs	N;ACC;DEF;SG;PSS2S
ətəji	ətəjit͡ʃandə	V;DUR;IPFV;FIN;IND;SG;2;PRS;ACT
baka	bakarəw	V;FIN;IND;PL;1+EXCL;PST;ACT
awgusta	awgustatkiː	N;ALL;SG
umuktaγat͡ʃini		ADJ;EQTV;PSS3S
tirəː	tirəːrən	V;FIN;IND;SG;3;PST;ACT
nulgiː	nulgiːrəw	V;FIN;IND;PL;1+EXCL;PST;ACT
ɲəkə	ɲəkəďəm	V;FIN;IND;SG;1;FUT+IMMED;ACT
uksədikəːn	uksədikəːn	ADJ;EQTV
guluwun	guluwuntkiːn	N;ALL;SG;PSS3S
buː	buː	N;NOM;SG
amaː	amaː	N;NOM;SG
ut͡ʃami	ut͡ʃamilaː	N;TERM;SG
ďuː	ďuːwi	N;NOM;SG;PSSRS
əkniːl	əkniːlw	N;NOM;SG;PSS1S
hukti	huktirən	V;FIN;IND;SG;3;PST;ACT
etitə	etitə	ADJ
ollo	ollolə	N;ACC;INDF;PL
dundə	dundəlduaːn	N;TERM;PL;PSS3S
ribat͡ʃiťtə	ribat͡ʃiťtə	ADJ
kujkiː	kujkiː	ADJ
kujiː		V;IPFV;FIN;POT;PL;3;ACT
hokto	hoktoduː	N;DAT;SG
ŋinaγiː	ŋinaγiːrəw	V;FIN;IND;PL;1+EXCL;PST;ACT
koto		N;DAT;PL;PSS2P
ďiwo	ďiworə	V;FIN;IND;PL;3;PST;ACT
sok	sokrə	V;FIN;IND;PL;3;PST;ACT
ili	iliduː	N;DAT;SG
buː	buːďəm	V;FIN;IND;SG;1;FUT+IMMED;ACT
əməːn	əməːnwďən	V;FIN;IND;SG;3;FUT+IMMED;PASS
ənŋə	ənŋəkəl	V;FIN;IMP;SG;2;ACT
bəjatsə	bəjatsə	N;NOM;SG
moː	moːlaː	N;TERM;SG
həgdiŋoko	həgdiŋokol	ADJ;PL
dulin	dulinduːn	N;DAT;SG;PSS3S
buɲiː	buɲiːlwər	N;PL;PSSRP+ACC
dəγi	dəγim	V;FIN;IND;SG;1;PST;ACT
ʒe	ʒe	N;NOM;SG
amini	aminin	N;NOM;SG;PSS3S
dəgi	dəgil	N;NOM;PL
ijəko	ijəkol	N;NOM;PL
bira	biraŋmi	N;NOM;SG;ALN+PSSRS
siŋilgən	siŋilgənt	N;INS;SG
iɲ	iɲďəm	V;IPFV;FIN;IND;SG;1;PRS;ACT
ďəpi	ďəpiŋkiːwun	V;FIN;IND;PL;1+EXCL;PST+RMT;ACT
tawu	tawuŋnərəw	V;HAB;FIN;IND;PL;1+EXCL;PST;ACT
ďaw	ďaw	N;NOM;SG
atirkaːn		N;COM+TERM;SG
huru	hururən	V;FIN;IND;SG;3;PST;ACT
irəkʃə	irəkʃəwan	N;ACC;DEF;SG;PSS3S
ugu	uguŋkiːn	V;FIN;IND;SG;3;PST+RMT;ACT
gun	gun	V;FIN;IND;ACT
ɲikə	ɲikəm	V;FIN;IND;SG;1;PST;ACT
huďi	huďiďəŋaːt	V;FIN;IND;PL;1+INCL;FUT;ACT
irgi	irgit͡ʃaŋkin	V;DUR;IPFV;FIN;IND;PL;3;PST+RMT;ACT
soːkaːn	soːkaːnďit͡ʃoːtin	V;IPFV;FIN;IND;PL;3;PST;ACT
nəkə	nəkəďəm	V;IPFV;FIN;IND;SG;1;PRS;ACT
kolan	kolan	N;NOM;SG
iśə	iśəśimɲː	V;DUR;FIN;IND;ACT
luk	lukrə	V;FIN;IND;PL;3;PST;ACT
igďamakaːn	igďamakaːn	ADJ
aha	aharnun	N;COM;PL
asi	asil	N;NOM;PL
təro	tərom	V;FIN;IND;SG;1;PST;ACT
baka	bakam	V;FIN;IND;SG;1;PST;ACT
awu	awuŋkiːw	V;FIN;IND;SG;1;PST+RMT;ACT
pastuhi	pastuhiďət͡ʃaːw	V;IPFV;FIN;IND;SG;1;PST;ACT
əmə	əmərən	V;FIN;IND;SG;3;PST;ACT
həgdiloːn	həgdiloːn	ADJ
ośin	ośin	N;NOM;SG
ŋənə	ŋənəktə	V;FIN;IMP;SG;1;ACT
ďuγuː	ďuγuːliːn	N;PROL;SG;PSS3S
turoː	turoː	N;NOM;SG
haː	haːt͡ʃos	V;FIN;IND;SG;2;PST;ACT
irkutskaj	irkutskajduː	N;DAT;SG
tawu	tawuŋnərə	V;HAB;FIN;IND;PL;3;PST;ACT
əďiː	əďiːgit	N;IN+ABL;SG
hulu	hulu	ADJ
əməːn	əməːnďən	V;FIN;IND;SG;3;FUT+IMMED;ACT
wertoloːti	wertoloːtit	N;INS;SG
kantora	kantora	N;NOM;SG
ŋinakin	ŋinakinwun	N;NOM;SG;PSS1PE
bi	birəw	V;FIN;IND;PL;1+EXCL;PST;ACT
ini	inihinəm	V;SEMEL;FIN;IND;SG;1;PST;ACT
hoːm	hoːmrən	V;FIN;IND;SG;3;PST;ACT
ili	ilitt͡ʃərəw	V;DUR;IPFV;FIN;IND;PL;1+EXCL;PRS;ACT
aŋaɲiː	aŋaɲiːn	V;FIN;IND;SG;3;ACT
majgu	majgu	N;NOM;SG
dinŋiːləːn	dinŋiːləːnďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
amut	amut	N;NOM;SG
girkumət	girkumət	ADJ
kazak	kazak	N;NOM;SG
hawal	hawalďŋoː	V;FIN;IND;FUT;ACT
mukurə	mukurərə	V;FIN;IND;PL;3;PST;ACT
ijə	ijəlwan	N;ACC;DEF;PL;PSS3S
hawal	hawalďət͡ʃaːw	V;IPFV;FIN;IND;SG;1;PST;ACT
ərdikoːn	ərdikoːn	ADJ
da	dalduːwi	N;DAT;PL;PSSRS
amin	amintin	N;NOM;SG;PSS3P
oroni	oronin	N;NOM;SG;PSS3S
hukuləː	hukuləːďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
toγo	toγon	N;NOM;SG;PSS3S
ulukiː	ulukiːwə	N;ACC;DEF;SG
hujət	hujətrəw	V;FIN;IND;PL;1+EXCL;PST;ACT
bəju	bəjulə	N;ACC;INDF;PL
aha	ahaďərə	V;IPFV;FIN;IND;PL;3;PRS;ACT
ɲiďəla	ɲiďəladuː	N;DAT;SG
dəktəndə	dəktəndəlwi	N;NOM;PL;PSS1S
moː	moːlwə	N;ACC;DEF;PL
həgdihə	həgdihəm	V;FIN;IND;SG;1;PST;ACT
plemaniki	plemanikiw	N;NOM;SG;PSS1S
ŋinaki	ŋinakilďi	N;INS;PL
tolgokiː	tolgokiːlďi	N;INS;PL
pəktirəː	pəktirəːdimoːttə	V;FIN;IND;PL;3;PST;RECP;ACT
tiha	tihaďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
təwlaː		V;SEMEL;IPFV;FIN;IND;PL;1+EXCL;PST;ACT
aminŋəhə	aminŋəhə	N;NOM;SG
ŋəli	ŋəlijoj	N;VOC;SG
ə	ərə	V;FIN;IND;PL;3;PST;ACT
əjəː	əjəːskol	V;SEMEL;FIN;IMP;SG;2;ACT
najabra	najabra	N;NOM;SG
suːko	suːkolwun	N;NOM;PL;PSS1PE
amin	aminwun	N;NOM;SG;PSS1PE
aja		ADJ;NOM;CMPR;SG
halgaliʃu	halgaliʃu	N;NOM;SG
ďu	ďuduː	N;DAT;SG
huru	hururəw	V;FIN;IND;PL;1+EXCL;PST;ACT
pəktiroː		V;ACC;DEF;FIN;IND;PL;1+EXCL;ACT
maluːgida	maluːgidatkiː	N;ALL;SG
bulta	bultan	N;NOM;SG;PSS3S
ďaďa	ďaďaw	N;NOM;SG;PSS1S
umukoːn	umukoːn	ADJ
jakut	jakut	N;NOM;SG
haktira	haktirarən	V;FIN;IND;SG;3;PST;ACT
bagdama	bagdama	ADJ
ila		V;DUR;IPFV;FIN;IMP;PL;2;ACT
ďawa	ďawaəw	V;FIN;COND;SG;1;ACT
bi	bildəp	V;FIN;IND;PL;1+INCL;PST;ACT
ərupt͡ʃu	ərupt͡ʃujə	ADJ;ACC;INDF
hamaːn	hamaːnwə	N;ACC;DEF;SG
ďugani	ďuganiduː	N;DAT;SG
pəktiron	pəktironďəŋoːs	V;FIN;IND;SG;2;FUT;ACT
biraja	birajalwə	N;ACC;DEF;PL
bi	biďit͡ʃoːwun	V;IPFV;FIN;IND;PL;1+EXCL;PST;ACT
mikt͡ʃan	mikt͡ʃanrən	V;FIN;IND;SG;3;PST;ACT
varənjə	varənjəwə	N;ACC;DEF;SG
abet	abet	N;NOM;SG
tugəɲiː	tugəɲiː	N;NOM;SG
dəγi	dəγirən	V;FIN;IND;SG;3;PST;ACT
hokto	hoktoə	N;ACC;DEF;SG;PSS1S
suːləmə	suːləmətin	ADJ;PSS3P
ilkəːɲ	ilkəːɲltə	V;IPFV;FIN;IND;PL;ACT
əvənkiju	əvənkiju	N;NOM;SG
turaːmi	turaːmiwə	N;ACC;DEF;SG
baka	bakaďəŋoːw	V;FIN;IND;SG;1;FUT;ACT
paśolok	paśoloklaː	N;TERM;SG
əɲiːŋəhə		N;NOM;SG;1
doːldiː	doːldiːttən	V;DUR;FIN;IND;SG;3;PST;ACT
uśitnaː	uśitnaːhinəm	V;SEMEL;FIN;IND;SG;1;PST;ACT
ďukt͡ʃa	ďukt͡ʃalaːn	N;TERM;SG;PSS3S
uŋku	uŋkuiďən	V;DUR;FIN;IND;SG;3;FUT+IMMED;ACT
kalhos	kalhos	N;NOM;SG
hiγi	hiγim	V;FIN;IND;SG;1;PST;ACT
kuŋakaːr	kuŋakaːr	N;NOM;SG
ďə	ďəďəm	V;IPFV;FIN;IND;SG;1;PRS;ACT
t͡ʃenokoːn	t͡ʃenokoːn	N;NOM;SG
nikalajəvit͡ʃ	nikalajəvit͡ʃ	N;NOM;SG
koːtuj	koːtuj	N;NOM;SG
miri	mirirən	V;FIN;IND;SG;3;PST;ACT
bəjətkon	bəjətkon	N;NOM;SG
gus	gus	N;NOM;SG
iɲ	iɲďət͡ʃoːn	V;IPFV;FIN;IND;SG;3;PST;ACT
amtil	amtilw	N;NOM;SG;PSS1S
saːtira	saːtirawə	N;ACC;DEF;SG
irgiśi	irgiśi	N;NOM;SG
tirə	tirəďərə	V;FIN;IND;PL;3;FUT+IMMED;ACT
ilə	iləlduː	N;DAT;PL
inə	inəŋnərəw	V;HAB;FIN;IND;PL;1+EXCL;PST;ACT
nulgi		V;SEMEL;FIN;IND;PL;3;ACT
ďumi	ďumilduː	N;DAT;PL
hərgiː	hərgiːn	N;NOM;SG;PSS3S
powar	powarďəŋkiːw	V;IPFV;FIN;IND;SG;1;PST+RMT;ACT
golo	golowə	N;ACC;DEF;SG
hukuləː	hukuləːďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
ɲəmuləmɲi	ɲəmuləmɲil	N;NOM;PL
abdun	abdundukpi	N;ABL;SG;PSSRS
pəktirəːwuni	pəktirəːwunin	N;NOM;SG;PSS3S
ir	irduk	N;ABL;SG
ihə	ihəldulaː	N;TERM;PL
tuksaː	tuksaːďəŋkiːwun	V;IPFV;FIN;IND;PL;1+EXCL;PST+RMT;ACT
oː	oːrən	V;FIN;IND;SG;3;PST;ACT
pol	polwə	N;ACC;DEF;SG
əmukin	əmukin	ADJ
hutə	hutəw	N;NOM;SG;PSS1S
hawal	hawalďəŋkiːn	V;IPFV;FIN;IND;SG;3;PST+RMT;ACT
hurunən	hurunənwə	N;ACC;DEF;SG
əmə	əməďən	V;FIN;IND;SG;3;FUT+IMMED;ACT
goro	gorowə	N;ACC;DEF;SG
hargi	hargiltikiː	N;ALL;PL
amkin	amkin	N;NOM;SG
hulakiːkuːn	hulakiːkuːn	N;NOM;SG
təďoː	təďoː	N;NOM;SG
ahiː	ahiːwan	N;ACC;DEF;SG;PSS3S
noː	noːŋnərəw	V;HAB;FIN;IND;PL;1+EXCL;PST;ACT
guluwun	guluwunlaːwər	N;TERM;SG;PSSRP
ďadaŋi	ďadaŋilduː	N;DAT;PL
hutə	hutəlduːwi	N;DAT;PL;PSSRS
hogdiŋo	hogdiŋol	ADJ;PL
luk	lukrəw	V;FIN;IND;PL;1+EXCL;PST;ACT
nulgiːmdə	nulgiːmdətin	N;NOM;SG;PSS3P
inmərukkoːn	inmərukkoːnji	N;SG;PSSRS+ACC
kiki	kikihinən	V;SEMEL;FIN;IND;SG;3;PST;ACT
dili	diliw	N;NOM;SG;PSS1S
iɲ	iɲďəŋkiːtin	V;IPFV;FIN;IND;PL;3;PST+RMT;ACT
olromi	olromiďərə	V;IPFV;FIN;IND;PL;3;PRS;ACT
guluwun	guluwunlaː	N;TERM;SG
huru	huruŋnərəw	V;HAB;FIN;IND;PL;1+EXCL;PST;ACT
ďawa	ďawaďəp	V;IPFV;FIN;IND;PL;1+INCL;PRS;ACT
tajmen	tajmenduk	N;ABL;SG
art͡ʃa	art͡ʃarən	V;FIN;IND;SG;3;PST;ACT
ərjokloː	ərjokloː	N;NOM;SG
swaďba	swaďbaďəp	V;FIN;IND;PL;1+INCL;FUT+IMMED;ACT
daːr	daːrrəw	V;FIN;IND;PL;1+EXCL;PST;ACT
ə	ərəw	V;FIN;IND;PL;1+EXCL;PST;ACT
ďapka	ďapkatkiːn	N;ALL;SG;PSS3S
təpkə	təpkəŋkiːn	V;FIN;IND;SG;3;PST+RMT;ACT
hutəkoː	hutəkoːlwun	N;NOM;PL;PSS1PE
duwukiː	duwukiːwan	N;ACC;DEF;SG;PSS3S
əɲiː	əɲiːw	N;NOM;SG;PSS1S
bi	bim	V;FIN;IND;SG;1;PST;ACT
amin	aminnuin	N;COM;SG;PSS3S
liʒi	liʒi	N;NOM;SG
dolboltonə	dolboltonəlaː	N;TERM;SG
huru	hururən	V;FIN;IND;SG;3;PST;ACT
pəktəroni	pəktəroniŋnəndə	V;HAB;FIN;IND;SG;2;PST;ACT
gala	gala	N;NOM;SG
gə	gəduː	N;DAT;SG
bi	bim	V;FIN;IND;SG;1;PST;ACT
itiγaː	itiγaːrəw	V;FIN;IND;PL;1+EXCL;PST;ACT
akini	akinin	N;NOM;SG;PSS3S
əldun	əldun	N;NOM;SG
uŋku	uŋkuďərn	V;FIN;IND;SG;3;PRS;ACT
dəγi	dəγirə	V;FIN;IND;PL;3;PST;ACT
bolʃoj	bolʃoj	N;NOM;SG
doːldiː	doːldiːrəw	V;FIN;IND;PL;1+EXCL;PST;ACT
ənəli	ənəli	V;FIN;IND;ACT
aki	akiw	N;NOM;SG;PSS1S
amaːkaːtkan	amaːkaːtkanduk	N;ABL;SG
əŋəhiː		N;ACC;INDF;SG;PSS2S
həkuːhiː	həkuːhiːt	N;INS;SG
ila	ilaŋkiːn	V;FIN;IND;SG;3;PST+RMT;ACT
o	oďərə	V;IPFV;FIN;IND;PL;3;FUT+IMMED;ACT
oron	oronwətin	N;ACC;DEF;SG;PSS3P
prədukt	prəduktlwə	N;ACC;DEF;PL
alba	albaŋnəm	V;HAB;FIN;IND;SG;1;PST;ACT
tatar	tatarwan	N;ACC;DEF;SG;PSS3S
moːtiːtkoːn	moːtiːtkoːnwə	N;ACC;DEF;SG
śirəktə	śirəktəlwi	N;PL;PSSRS+ACC
o	om	V;FIN;IND;SG;1;PST;ACT
amkin	amkinduː	N;DAT;SG
tolgoki	tolgokil	N;NOM;PL
bə	bə	N;NOM;SG
bi	bim	V;FIN;IND;SG;1;PST;ACT
warak	warak	N;NOM;SG
hulakiː	hulakiːwə	N;ACC;DEF;SG
uďa	uďalwatin	N;ACC;DEF;PL;PSS3P
ganalt͡ʃi	ganalt͡ʃi	N;NOM;SG
biraja	birajawə	N;ACC;DEF;SG
təti	tətiďəŋkiːn	V;IPFV;FIN;IND;SG;3;PST+RMT;ACT
goγo	goγorə	V;FIN;IND;PL;3;PST;ACT
ďawut͡ʃa	ďawut͡ʃaďəŋkiːn	V;IPFV;FIN;IND;SG;3;PST+RMT;ACT
poːta	poːtalwər	N;PL;PSSRP+ACC
kuŋakan	kuŋakannun	N;COM;SG
oː	oːďən	V;FIN;IND;SG;3;FUT+IMMED;ACT
baka	bakam	V;FIN;IND;SG;1;PST;ACT
uďa	uďalwə	N;ACC;DEF;PL
ə	əkəldu	V;FIN;IMP;PL;2;ACT
ɲiďela	ɲiďela	N;NOM;SG
spit͡ʃka	spit͡ʃkawə	N;ACC;DEF;SG
jigorəwiʃ	jigorəwiʃ	N;NOM;SG
ogdokoː	ogdokoːlowər	N;ACC;INDF;PL;PSSRP
əməːn	əməːnwrə	V;FIN;IND;PL;1+EXCL;PST;PASS
ollomoː	ollomoːinŋkiːwu	V;SEMEL;FIN;IND;PL;1+EXCL;PST+RMT;ACT
ŋənə	ŋənəm	V;FIN;IND;SG;1;PST;ACT
ďoni	ďoniŋnəm	V;HAB;FIN;IND;SG;1;PST;ACT
